Paper	Date	ISSN	TextblockID	Label	URL
Sanomia Turusta	22/05/1863	1457-4616	P2_TB00012	"Oisin niin	 niin näin tekisin "	http://digi.kansalliskirjasto.fi/sanomalehti/binding/485777?page=2
Sanomia Turusta	22/05/1863	1457-4616	P2_TB00013	"Oisin niin	 niin näin tekisin "	http://digi.kansalliskirjasto.fi/sanomalehti/binding/485777?page=2
Sanomia Turusta	22/05/1863	1457-4616	P2_TB00002	"Oisin niin	 niin näin tekisin "	http://digi.kansalliskirjasto.fi/sanomalehti/binding/485777?page=2
Kansakunnan Lehti	29/10/1863	1458-0918	P3_TB00012	Syrjäkuntain synty	http://digi.kansalliskirjasto.fi/sanomalehti/binding/448888?page=3
Kansakunnan Lehti	29/10/1863	1458-0918	P4_TB00010	Syrjäkuntain synty	http://digi.kansalliskirjasto.fi/sanomalehti/binding/448888?page=4
Otawa	13/06/1862	1457-4519	P1_TB00004	Wähä runo maanviljelyksestä	http://digi.kansalliskirjasto.fi/sanomalehti/binding/422445?page=1
Otawa	13/06/1862	1457-4519	P1_TB00003	Wähä runo maanviljelyksestä	http://digi.kansalliskirjasto.fi/sanomalehti/binding/422445?page=1
Otawa	13/06/1862	1457-4519	P2_TB00021	Wähä runo maanviljelyksestä	http://digi.kansalliskirjasto.fi/sanomalehti/binding/422445?page=2
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00008	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00007	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00006	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00005	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00004	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
Oulun Wiikko-Sanomia	30/09/1865	1457-4527	P1_TB00017	Waltiollista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/411714?page=1
